"car_make","high_tier_percentage"
"Tesla","100.00"
"Koenigsegg","100.00"
"Pagani","100.00"
"Bugatti","100.00"
"Ultima","100.00"
"W Motors","100.00"
"Pininfarina","100.00"
"Rimac","100.00"
"Dodge","85.37"
"Ferrari","67.27"
"Lamborghini","66.67"
"Aston Martin","34.00"
"Mercedes-AMG","27.27"
"Lotus","17.14"
"McLaren","12.00"
"Porsche","9.09"
"Mercedes-Benz","5.56"
"Ford","4.17"
"BMW","0.00"
"Toyota","0.00"
"Kia","0.00"
"Alpine","0.00"
"Maserati","0.00"
"Shelby","0.00"
"Chevrolet","0.00"
"Bentley","0.00"
"Alfa Romeo","0.00"
"Ariel","0.00"
"Audi","0.00"
"Rolls-Royce","0.00"
"Jaguar","0.00"
"Lexus","0.00"
"TVR","0.00"
"Nissan","0.00"
"Acura","0.00"
"Polestar","0.00"
"Subaru","0.00"
"Mazda","0.00"
