"car_make","total_cars","luxury_cars","percentage_above_avg","segment"
"Rimac","14","14","100.00","Premium"
"W Motors","3","3","100.00","Premium"
"Shelby","1","1","100.00","Premium"
"Pininfarina","2","2","100.00","Premium"
"Koenigsegg","15","15","100.00","Premium"
"Pagani","12","12","100.00","Premium"
"Bugatti","23","23","100.00","Premium"
"Ford","48","34","70.83","Premium"
"Lamborghini","66","44","66.67","Medium"
"Ferrari","55","23","41.82","Medium"
"Lotus","35","6","17.14","Low"
"McLaren","75","5","6.67","Low"
"Porsche","88","1","1.14","Low"
"Kia","1","0","0.00","Low"
"Mercedes-Benz","54","0","0.00","Low"
"Ultima","1","0","0.00","Low"
"Nissan","37","0","0.00","Low"
"Acura","16","0","0.00","Low"
"Polestar","1","0","0.00","Low"
"Aston Martin","50","0","0.00","Low"
"Subaru","3","0","0.00","Low"
"Mazda","1","0","0.00","Low"
"BMW","63","0","0.00","Low"
"Toyota","5","0","0.00","Low"
"TVR","2","0","0.00","Low"
"Mercedes-AMG","11","0","0.00","Low"
"Alpine","1","0","0.00","Low"
"Maserati","25","0","0.00","Low"
"Dodge","41","0","0.00","Low"
"Chevrolet","60","0","0.00","Low"
"Bentley","25","0","0.00","Low"
"Alfa Romeo","16","0","0.00","Low"
"Ariel","1","0","0.00","Low"
"Audi","71","0","0.00","Low"
"Rolls-Royce","10","0","0.00","Low"
"Tesla","18","0","0.00","Low"
"Jaguar","30","0","0.00","Low"
"Lexus","26","0","0.00","Low"
